Front	Back	Tags
"Q1: Steve is a security practitioner assigned to come up with a protective measure for ensuring that cars don't collide with pedestrians.

What is probably the most effective type of control for this task?

正解: {c1::Physical}

解説: Physical controls, such as fences, walls and bollards, will be most likely to ensure cars cannot collide with pedestrians by creating actual barriers between cars and pedestrians."		cc-practice security-plus
"Q2: Chad is a security practitioner tasked with ensuring that the information on the organization's public website is not changed by anyone outside the organization.

Which concept does this task demonstrate?

正解: {c1::Integrity}

解説: Preventing unauthorized modification is the definition of integrity."		cc-practice security-plus
"Q3: 

Which of the following is an example of a 'Something you know' authentication factor?

正解: {c1::Password}

解説: A password is something the user knows and can present as an authentication factor to confirm an identity assertion."		cc-practice security-plus
"Q4: 

Which of the following is an example of a 'Something you are' authentication factor?

正解: {c1::A photograph of your face}

解説: A facial photograph is something you are, your appearance."		cc-practice security-plus
"Q5: A system collects transactional information and stores it in a record in order to show which users performed which actions.

Which concept does this demonstrate?

正解: {c1::Non-repudiation}

解説: Non-repudiation describes the concept that users cannot deny having performed transactions that they did, in fact, conduct. A system that keeps a record of user transactions provides non-repudiation."		cc-practice security-plus
"Q6: 

What is the European Union (EU) law that grants legal protections to individual human privacy?

正解: {c1::The General Data Protection Regulation}

解説: The GDPR is the EU law that treats privacy as a human right."		cc-practice security-plus
"Q7: 

For which of the following systems would the security concept of availability be considered MOST important?

正解: {c1::Medical systems that monitor patient conditions in an intensive-care unit}

解説: Information that reflects patient conditions is data that necessarily must be kept available in real time, because that data is directly linked to patient well-being (and possibly a matter of life or death). This is, by far, the most important of the options listed."		cc-practice security-plus
"Q8: 

For which of the following assets is integrity probably the MOST important security aspect?

正解: {c1::The file that contains passwords used to authenticate users}

解説: If a password file is modified, the impact to the environment could be significant; there is a possibility that all authorized users could be denied access, or that anyone (including unauthorized users) could be granted access. The integrity of the password file is probably the most crucial of the four options listed."		cc-practice security-plus
"Q9: 

In risk management, which concept reflects something a security practitioner might need to protect?

正解: {c1::Asset}

解説: An asset is anything with value, and a security practitioner may need to protect assets."		cc-practice security-plus
"Q10: 

In risk management concepts, what is something or someone that poses risk to an organization or asset?

正解: {c1::Threat}

解説: A threat is something or someone that poses risk to the organization; this is the definition of a threat."		cc-practice security-plus
